x,y
0,0
1,1
2.71575,2.66713
4.87191,4.55371
7.37531,7.03392
10.1733,9.55566
13.2309,12.5648
16.5228,15.5508
20.0295,19.0065
23.7355,22.4134
27.6281,26.2389
31.6966,30.0189
35.9318,34.2031
40.3259,38.3389
44.8718,42.8292
49.5634,47.2684
54.3951,52.0415
59.3621,56.8042
64.4598,61.8612
69.6841,66.8333
75.0311,72.1219
80.4976,77.4018
86.0801,83.0267
91.7759,88.6332
97.582,94.5915
103.496,100.429
109.515,106.511
115.637,112.577
121.861,118.725
128.183,124.868
134.602,131.343
141.116,137.88
147.724,144.409
154.423,150.521
161.213,157.489
168.091,164.246
175.057,171.247
182.108,178.258
189.245,185.653
196.464,192.697
203.766,199.961
211.149,207.62
218.611,215.166
226.153,221.876
233.772,229.877
241.468,237.547
249.24,246.006
257.087,252.735
265.008,260.087
273.003,267.574
281.069,276.119
289.207,285.196
297.416,293.537
305.694,303.182
314.042,312.905
322.459,321.732
330.943,331.959
339.495,343.003
348.112,350.344
356.796,355.697
365.545,362.433
374.359,369.305
383.236,375.672
392.177,384.217
401.181,386.867
410.247,390.144
419.375,400.023
428.564,409.327
437.814,411.708
447.124,425.066
456.494,436.329
465.923,447.771
475.411,462.392
484.957,487.682
494.561,498.858
504.223,510.03
513.941,532.483
523.716,538.453
533.548,559.531
543.435,557.437
553.378,566.571
563.375,567.203
573.427,572.066
583.534,572.893
593.694,576.714
603.908,584.238
614.175,593.143
624.495,595.794
634.867,588.433
645.292,591.491
655.768,588.204
666.296,596.243
676.875,564.414
687.505,602.391
698.185,610.727
708.916,629.421
719.697,615.467
730.527,634.714
741.407,711.167
752.336,727.667
763.314,779.818
774.34,910.333
785.414,917.778
796.537,943.857
807.707,943.667
818.925,1132
830.19,1097
841.502,811.667
852.861,819.333
864.267,825
875.718,810
887.216,799
898.759,844
910.349,1585
921.983,1620
933.662,1693
945.387,1658
957.156,1733
968.97,1810
980.828,1889
992.73,1924
1004.68,2005
1016.66,2042
1028.7,2125
1040.77,2088
