x,y
0,0
1,1
2.0446,2.22295
3.10673,3.46873
4.1804,4.77064
5.26274,6.07272
6.35203,7.40532
7.44714,8.73453
8.54726,10.0873
9.65178,11.4409
10.7602,12.804
11.8722,14.1611
12.9874,15.5333
14.1055,16.9046
15.2265,18.2843
16.3499,19.6691
17.4758,21.0606
18.6038,22.4508
19.7341,23.8403
20.8663,25.234
22.0004,26.6406
23.1363,28.034
24.2739,29.4208
25.4132,30.8154
26.554,32.2159
27.6964,33.6131
28.8402,35.0132
29.9855,36.4092
31.1321,37.8174
32.2799,39.2156
33.4291,40.6213
34.5794,42.0296
35.731,43.4263
36.8837,44.8444
38.0375,46.2476
39.1924,47.6654
40.3483,49.089
41.5053,50.5044
42.6632,51.9147
43.8221,53.3469
44.982,54.7628
46.1428,56.1939
47.3045,57.6143
48.4671,59.0567
49.6305,60.4752
50.7948,61.9004
51.9599,63.3289
53.1258,64.7476
54.2925,66.1728
55.46,67.6051
56.6282,69.0077
57.7972,70.4283
58.9669,71.8732
60.1373,73.2961
61.3084,74.7405
62.4802,76.1684
63.6527,77.5763
64.8259,78.9633
65.9997,80.3434
67.1741,81.7308
68.3492,83.1433
69.5249,84.5826
70.7012,86.0239
71.8782,87.4694
73.0557,88.9077
74.2338,90.3321
75.4125,91.7385
76.5918,93.1653
77.7716,94.5935
78.9519,96.024
80.1328,97.4526
81.3143,98.8763
82.4963,100.296
83.6788,101.742
84.8618,103.156
86.0453,104.598
87.2293,106.005
88.4139,107.476
89.5989,108.912
90.7844,110.335
91.9704,111.807
93.1568,113.216
94.3437,114.676
95.5311,116.109
96.7189,117.55
97.9072,119.02
99.0959,120.532
100.285,121.968
101.475,123.383
102.665,124.824
103.855,126.273
105.046,127.705
106.237,129.14
107.429,130.558
108.621,132.116
109.814,133.546
111.007,134.943
112.2,136.394
113.394,137.896
114.588,139.298
115.782,140.649
116.977,142.064
118.172,143.548
119.368,144.977
120.564,146.429
121.76,147.904
122.957,149.358
124.154,150.812
125.351,152.259
126.549,153.687
127.747,155.109
128.946,156.591
130.144,158.041
131.344,159.436
132.543,160.848
133.743,162.301
134.943,163.741
136.144,165.151
137.344,166.485
138.546,167.955
139.747,169.358
140.949,170.757
142.151,172.218
143.353,173.623
144.556,175.156
145.759,176.616
146.962,177.998
148.166,179.296
149.37,180.78
150.574,182.267
151.779,183.692
152.984,185.114
154.189,186.637
155.394,188.169
156.6,189.571
157.806,190.999
159.012,192.477
160.219,193.98
161.425,195.411
162.632,196.936
163.84,198.421
165.048,199.919
166.255,201.383
167.464,202.671
168.672,204.15
169.881,205.58
171.09,207.114
172.299,208.524
173.509,209.93
174.718,211.343
175.929,212.945
177.139,214.414
178.349,215.793
179.56,217.099
180.771,218.682
181.983,220.226
183.194,221.46
184.406,222.894
185.618,224.431
186.83,225.855
188.043,227.314
189.256,228.688
190.469,230.272
191.682,231.651
192.895,233.285
194.109,234.645
195.323,235.998
196.537,237.402
197.752,238.883
198.966,240.201
200.181,241.527
201.396,243.069
202.612,244.555
203.827,245.875
205.043,247.343
206.259,248.919
207.475,250.347
208.692,251.84
209.909,253.257
211.125,254.772
212.343,256.213
213.56,257.801
214.777,259.231
215.995,260.546
217.213,262.065
218.431,263.429
219.65,264.817
220.868,266.375
222.087,267.942
223.306,269.149
224.525,270.562
225.745,271.937
226.964,273.273
228.184,274.975
229.404,276.394
230.624,278.057
231.845,279.327
233.066,280.899
234.286,282.258
235.507,283.703
236.729,285.06
