x,y
-inf,-inf
0,0
0.693147,0.872475
1.09861,1.37696
1.38629,1.73218
1.60944,2.00079
1.79176,2.22421
1.94591,2.4131
2.07944,2.56771
2.19722,2.71612
2.30259,2.85079
2.3979,2.96138
2.48491,3.0705
2.56495,3.15994
2.63906,3.24278
2.70805,3.32329
2.77259,3.39945
2.83321,3.47421
2.89037,3.54593
2.94444,3.60741
2.99573,3.66738
3.04452,3.72627
3.09104,3.77799
3.13549,3.83379
3.17805,3.88651
3.21888,3.92497
3.2581,3.97164
3.29584,4.00302
3.3322,4.06012
3.3673,4.09728
3.4012,4.13775
3.43399,4.17795
3.46574,4.21554
3.49651,4.25267
3.52636,4.29438
3.55535,4.32741
3.58352,4.3547
3.61092,4.38269
3.63759,4.42504
3.66356,4.45206
3.68888,4.47601
3.71357,4.50165
3.73767,4.52887
3.7612,4.55509
3.78419,4.58805
3.80666,4.62228
3.82864,4.64731
3.85015,4.67786
3.8712,4.70469
3.89182,4.74076
3.91202,4.78296
3.93183,4.8002
3.95124,4.82283
3.97029,4.84933
3.98898,4.86941
4.00733,4.89786
4.02535,4.90598
4.04305,4.92792
4.06044,4.94407
4.07754,4.95999
4.09434,4.97827
4.11087,4.99915
4.12713,5.02334
4.14313,5.04082
4.15888,5.06472
4.17439,5.08216
4.18965,5.08746
4.20469,5.10261
4.21951,5.11005
4.23411,5.12142
4.2485,5.14713
4.26268,5.16352
4.27667,5.1711
4.29046,5.19263
4.30407,5.20406
4.31749,5.2133
4.33073,5.22142
4.34381,5.24781
4.35671,5.25951
4.36945,5.26521
4.38203,5.28226
4.39445,5.29399
4.40672,5.31672
4.41884,5.33126
4.43082,5.34624
4.44265,5.35754
4.45435,5.36898
4.46591,5.38297
4.47734,5.39756
4.48864,5.4159
4.49981,5.44175
4.51086,5.46021
4.52179,5.46631
4.5326,5.46109
4.54329,5.49313
4.55388,5.50063
4.56435,5.53371
4.57471,5.55112
4.58497,5.54208
4.59512,5.575
4.60517,5.57183
4.61512,5.59829
4.62497,5.60061
4.63473,5.59985
4.64439,5.61852
4.65396,5.63088
4.66344,5.64181
4.67283,5.65421
4.68213,5.65749
4.69135,5.67949
4.70048,5.67032
4.70953,5.68405
4.7185,5.7003
4.72739,5.6996
4.7362,5.71605
4.74493,5.7217
4.75359,5.72692
4.76217,5.75222
4.77068,5.76597
4.77912,5.77725
4.78749,5.79004
4.79579,5.78957
4.80402,5.78649
4.81218,5.78866
4.82028,5.82508
4.82831,5.81725
4.83628,5.85029
4.84419,5.86492
4.85203,5.88184
4.85981,5.89179
4.86753,5.9045
4.8752,5.89581
4.8828,5.92606
4.89035,5.92719
4.89784,5.93937
4.90527,5.9347
4.91265,5.9426
4.91998,5.93165
4.92725,5.93252
4.93447,5.96205
4.94164,5.97063
4.94876,5.9859
4.95583,5.99097
4.96284,6.0077
