x,y
-inf,-inf
0,0
0.693147,0.874746
1.09861,1.35559
1.38629,1.7141
1.60944,1.97786
1.79176,2.20359
1.94591,2.38759
2.07944,2.5522
2.19722,2.69245
2.30259,2.82159
2.3979,2.93577
2.48491,3.04218
2.56495,3.13768
2.63906,3.22843
2.70805,3.31128
2.77259,3.38967
2.83321,3.46187
2.89037,3.53124
2.94444,3.59604
2.99573,3.65737
3.04452,3.71548
3.09104,3.77083
3.13549,3.82387
3.17805,3.87515
3.21888,3.92336
3.2581,3.9699
3.29584,4.0148
3.3322,4.05929
3.3673,4.10085
3.4012,4.14075
3.43399,4.18008
3.46574,4.21812
3.49651,4.25472
3.52636,4.29128
3.55535,4.32595
3.58352,4.3602
3.61092,4.39271
3.63759,4.42522
3.66356,4.45649
3.68888,4.48782
3.71357,4.51711
3.73767,4.54654
3.7612,4.57548
3.78419,4.60312
3.80666,4.63021
3.82864,4.65768
3.85015,4.68445
3.8712,4.70956
3.89182,4.73277
3.91202,4.75826
3.93183,4.78132
3.95124,4.80642
3.97029,4.82925
3.98898,4.85137
4.00733,4.87167
4.02535,4.89315
4.04305,4.91349
4.06044,4.93308
4.07754,4.95299
4.09434,4.97338
4.11087,4.99191
4.12713,5.01108
4.14313,5.03107
4.15888,5.05126
4.17439,5.06986
4.18965,5.08795
4.20469,5.10593
4.21951,5.12379
4.23411,5.13945
4.2485,5.15624
4.26268,5.17297
4.27667,5.18914
4.29046,5.20481
4.30407,5.22155
4.31749,5.23788
4.33073,5.25529
4.34381,5.27215
4.35671,5.28572
4.36945,5.30284
4.38203,5.31974
4.39445,5.33429
4.40672,5.34871
4.41884,5.36249
4.43082,5.37616
4.44265,5.39004
4.45435,5.40298
4.46591,5.41863
4.47734,5.43458
4.48864,5.4466
4.49981,5.46286
4.51086,5.47126
4.52179,5.48104
4.5326,5.49269
4.54329,5.5054
4.55388,5.52196
4.56435,5.53728
4.57471,5.55448
4.58497,5.56621
4.59512,5.58206
4.60517,5.59122
4.61512,5.60265
4.62497,5.613
4.63473,5.62303
4.64439,5.63646
4.65396,5.65315
4.66344,5.65926
4.67283,5.67251
4.68213,5.69033
4.69135,5.69758
4.70048,5.71097
4.70953,5.72575
4.7185,5.7358
4.72739,5.74852
4.7362,5.75136
4.74493,5.76342
4.75359,5.76596
4.76217,5.78015
4.77068,5.79723
4.77912,5.81279
4.78749,5.82114
4.79579,5.82834
4.80402,5.84299
4.81218,5.8488
4.82028,5.86303
4.82831,5.87142
4.83628,5.87929
4.84419,5.89075
4.85203,5.89933
4.85981,5.91033
4.86753,5.92264
4.8752,5.9321
4.8828,5.94029
4.89035,5.94188
4.89784,5.93913
4.90527,5.95846
4.91265,5.96674
4.91998,5.98406
4.92725,5.97845
4.93447,5.97209
4.94164,5.97118
4.94876,5.97656
4.95583,5.98148
4.96284,6.00438
4.96981,6.01995
4.97673,6.05621
4.98361,6.07307
4.99043,6.07953
4.99721,6.08228
5.00395,6.09952
5.01064,6.08767
5.01728,6.08363
5.02388,6.10815
5.03044,6.13064
5.03695,6.14971
5.04343,6.1774
5.04986,6.09375
5.05625,6.10288
5.0626,6.15965
5.0689,6.18451
5.07517,6.20098
5.0814,6.21043
5.0876,6.18973
5.09375,6.21492
5.09987,6.20934
5.10595,6.21624
5.11199,6.212
5.11799,6.25076
5.12396,6.22378
5.1299,6.22046
5.1358,6.24611
5.14166,6.26164
5.14749,6.21993
5.15329,6.21627
5.15906,6.21027
5.16479,6.19737
5.17048,6.12008
5.17615,6.12337
5.18178,6.22627
5.18739,6.21794
5.19296,6.21027
5.1985,6.23702
5.20401,6.25222
5.20949,6.26593
5.21494,6.29772
5.22036,6.28786
5.22575,6.2725
5.23111,6.28507
5.23644,6.36441
5.24175,6.34458
5.24702,6.35957
5.25227,6.35507
5.2575,6.34071
5.26269,6.31753
5.26786,6.30628
5.273,6.30372
5.27811,6.29895
5.2832,6.16015
5.28827,5.77868
5.2933,5.75045
5.29832,5.7301
