x,y
-inf,-inf
0,0
0.693147,0.798837
1.09861,1.24379
1.38629,1.56248
1.60944,1.80381
1.79176,2.0022
1.94591,2.16728
2.07944,2.31128
2.19722,2.43719
2.30259,2.54975
2.3979,2.6505
2.48491,2.74299
2.56495,2.82759
2.63906,2.90604
2.70805,2.97905
2.77259,3.0474
2.83321,3.11133
2.89037,3.17138
2.94444,3.22819
2.99573,3.28243
3.04452,3.33342
3.09104,3.3817
3.13549,3.42801
3.17805,3.47246
3.21888,3.51492
3.2581,3.55573
3.29584,3.59482
3.3322,3.63277
3.3673,3.66907
3.4012,3.70429
3.43399,3.73837
3.46574,3.77107
3.49651,3.8032
3.52636,3.83401
3.55535,3.8642
3.58352,3.89363
3.61092,3.92206
3.63759,3.9496
3.66356,3.97682
3.68888,4.00301
3.71357,4.02881
3.73767,4.05377
3.7612,4.0785
3.78419,4.10223
3.80666,4.12553
3.82864,4.14834
3.85015,4.1705
3.8712,4.19227
3.89182,4.21368
3.91202,4.23422
3.93183,4.25459
3.95124,4.2749
3.97029,4.29451
3.98898,4.31402
4.00733,4.33295
4.02535,4.35126
4.04305,4.36898
4.06044,4.38631
4.07754,4.40343
4.09434,4.42057
4.11087,4.43773
4.12713,4.45463
4.14313,4.47129
4.15888,4.4876
4.17439,4.50349
4.18965,4.51894
4.20469,4.53438
4.21951,4.54959
4.23411,4.5646
4.2485,4.57937
4.26268,4.59387
4.27667,4.60813
4.29046,4.62244
4.30407,4.63625
4.31749,4.65012
4.33073,4.66349
4.34381,4.67727
4.35671,4.69054
4.36945,4.70352
4.38203,4.71677
4.39445,4.7293
4.40672,4.74211
4.41884,4.75453
4.43082,4.76686
4.44265,4.77929
4.45435,4.79191
4.46591,4.80376
4.47734,4.8153
4.48864,4.82691
4.49981,4.83844
4.51086,4.84972
4.52179,4.8609
4.5326,4.87182
4.54329,4.88368
4.55388,4.89444
4.56435,4.90485
4.57471,4.91554
4.58497,4.9265
4.59512,4.93662
4.60517,4.94627
4.61512,4.95627
4.62497,4.96667
4.63473,4.97658
4.64439,4.98654
4.65396,4.99657
4.66344,5.00635
4.67283,5.01603
4.68213,5.02558
4.69135,5.03492
4.70048,5.04413
4.70953,5.05363
4.7185,5.06286
4.72739,5.07164
4.7362,5.08046
4.74493,5.08945
4.75359,5.09829
4.76217,5.10686
4.77068,5.1149
4.77912,5.12369
4.78749,5.13201
4.79579,5.14024
4.80402,5.14876
4.81218,5.15688
4.82028,5.16568
4.82831,5.17398
4.83628,5.18177
4.84419,5.18904
4.85203,5.19728
4.85981,5.20547
4.86753,5.21326
4.8752,5.22097
4.8828,5.22916
4.89035,5.23734
4.89784,5.24476
4.90527,5.25227
4.91265,5.25998
4.91998,5.26775
4.92725,5.2751
4.93447,5.28288
4.94164,5.29039
4.94876,5.29791
4.95583,5.30521
4.96284,5.31158
4.96981,5.31886
4.97673,5.32584
4.98361,5.33327
4.99043,5.34005
4.99721,5.34677
5.00395,5.35348
5.01064,5.36104
5.01728,5.36791
5.02388,5.37432
5.03044,5.38035
5.03695,5.38762
5.04343,5.39465
5.04986,5.40024
5.05625,5.4067
5.0626,5.41357
5.0689,5.4199
5.07517,5.42633
5.0814,5.43236
5.0876,5.43926
5.09375,5.44523
5.09987,5.45226
5.10595,5.45807
5.11199,5.46382
5.11799,5.46975
5.12396,5.47597
5.1299,5.48148
5.1358,5.48698
5.14166,5.49334
5.14749,5.49944
5.15329,5.50482
5.15906,5.51078
5.16479,5.51713
5.17048,5.52285
5.17615,5.52879
5.18178,5.5344
5.18739,5.54037
5.19296,5.54601
5.1985,5.55219
5.20401,5.55772
5.20949,5.56278
5.21494,5.56859
5.22036,5.57378
5.22575,5.57904
5.23111,5.58491
5.23644,5.59077
5.24175,5.59527
5.24702,5.6005
5.25227,5.60557
5.2575,5.61047
5.26269,5.61668
5.26786,5.62183
5.273,5.62783
5.27811,5.63238
5.2832,5.63799
5.28827,5.64282
5.2933,5.64793
5.29832,5.6527
