x,y
0,0
1,1
2.11673,2.28541
3.28223,3.61056
4.48056,5.03137
5.70393,6.4529
6.94761,7.93744
8.20845,9.42173
9.48416,10.9472
10.773,12.4639
12.0737,14.0166
13.3851,15.5655
14.7062,17.1391
16.0365,18.7113
17.3751,20.3066
18.7216,21.9039
20.0755,23.5142
21.4363,25.1378
22.8036,26.7774
24.1773,28.4111
25.5568,30.0547
26.942,31.6914
28.3326,33.3433
29.7284,34.9974
31.1292,36.6708
32.5348,38.3377
33.9449,40.0288
35.3596,41.7099
36.7785,43.4037
38.2015,45.0868
39.6286,46.7805
41.0596,48.4484
42.4944,50.1763
43.9329,51.8834
45.3749,53.5804
46.8204,55.3143
48.2693,57.0363
49.7214,58.7487
51.1768,60.5014
52.6354,62.2041
54.097,63.9196
55.5616,65.6127
57.0291,67.3409
58.4995,69.0809
59.9726,70.8407
61.4486,72.581
62.9272,74.3209
64.4084,76.069
65.8923,77.7986
67.3786,79.5101
68.8675,81.2996
70.3587,83.0425
71.8524,84.7699
73.3485,86.5214
74.8468,88.2812
76.3474,90.0534
77.8503,91.8479
79.3553,93.6553
80.8625,95.3877
82.3719,97.2119
83.8833,99.0601
85.3968,100.809
86.9123,102.539
88.4299,104.282
89.9494,106.012
91.4708,107.808
92.9942,109.599
94.5194,111.418
96.0466,113.212
97.5755,115.026
99.1063,116.807
100.639,118.604
102.173,120.378
103.709,122.005
105.247,123.888
106.787,125.625
108.328,127.374
109.871,129.205
111.415,131.029
112.961,132.894
114.509,134.677
116.058,136.531
117.609,138.24
119.161,140.162
120.715,142.006
122.271,143.975
123.828,145.825
125.386,147.598
126.946,149.404
128.508,151.214
130.07,152.937
131.635,154.776
133.2,156.527
134.767,158.444
136.336,160.313
137.905,162.201
139.476,163.962
141.049,165.797
142.623,167.767
144.198,169.602
145.774,171.389
147.352,173.203
148.931,175.12
150.511,177.017
152.092,178.913
153.675,180.902
155.259,182.746
156.844,184.469
158.431,186.359
160.018,188.204
161.607,190.024
163.197,192.004
164.788,193.999
166.381,195.905
167.974,197.617
169.569,199.633
171.164,201.434
172.761,203.459
174.359,205.191
175.958,206.666
177.559,208.655
179.16,210.595
180.762,212.62
182.366,214.699
183.97,216.714
185.576,218.599
187.183,220.457
188.79,222.355
190.399,224.01
192.009,226.083
193.619,227.798
195.231,229.767
196.844,232.06
198.458,234.543
200.073,236.219
201.688,238.58
203.305,240.429
204.923,242.096
206.541,244.043
208.161,246.153
209.782,247.975
211.403,250.229
213.026,251.798
214.649,253.494
216.274,255.628
217.899,256.895
219.525,258.346
221.152,260.261
222.78,262.472
224.409,264.565
226.039,266.486
227.67,267.957
229.301,269.966
230.934,271.607
232.567,273.09
234.201,274.117
235.836,276.552
237.472,278.078
239.109,280.409
240.746,282.926
242.385,284.79
244.024,286.821
245.664,288.494
247.305,290.159
248.947,291.462
250.59,293.243
252.233,295.36
253.877,297.038
255.522,298.436
257.168,300.295
258.815,302.053
260.462,304.108
262.111,306.497
263.76,308.148
265.409,309.224
267.06,312.004
268.711,313.743
270.363,315.75
272.016,317.097
273.67,319.327
275.324,320.931
276.979,323.318
278.635,325.878
280.292,326.961
281.949,329.462
283.607,331.462
285.266,333.508
286.926,333.963
288.586,335.545
290.247,338.219
291.909,341.023
293.571,343.234
295.234,344.603
296.898,345.228
298.563,346.393
300.228,348.068
301.894,350.357
303.561,352.335
305.228,352.672
306.896,355.179
308.565,359.605
