x,y
-inf,-inf
0,0
0.693147,0.981002
1.09861,1.51594
1.38629,1.95074
1.60944,2.25713
1.79176,2.5309
1.94591,2.74411
2.07944,2.94478
2.19722,3.10966
2.30259,3.26724
2.3979,3.40183
2.48491,3.53232
2.56495,3.64646
2.63906,3.75722
2.70805,3.85584
2.77259,3.95204
2.83321,4.03961
2.89037,4.12489
2.94444,4.2022
2.99573,4.27836
3.04452,4.34901
3.09104,4.41916
3.13549,4.48451
3.17805,4.54957
3.21888,4.60945
3.2581,4.66825
3.29584,4.72364
3.3322,4.77681
3.3673,4.82726
3.4012,4.87781
3.43399,4.92638
3.46574,4.97265
3.49651,5.01411
3.52636,5.05936
3.55535,5.10136
3.58352,5.14311
3.61092,5.18323
3.63759,5.22388
3.66356,5.26112
3.68888,5.29812
3.71357,5.33571
3.73767,5.37141
3.7612,5.40212
3.78419,5.43754
3.80666,5.47037
3.82864,5.50536
3.85015,5.53234
3.8712,5.56102
3.89182,5.58939
3.91202,5.62083
3.93183,5.65318
3.95124,5.682
3.97029,5.71433
3.98898,5.7459
4.00733,5.77372
4.02535,5.80501
4.04305,5.83774
4.06044,5.85891
4.07754,5.87408
4.09434,5.89284
4.11087,5.91162
4.12713,5.92872
4.14313,5.95121
4.15888,5.95808
4.17439,5.96652
4.18965,5.99152
4.20469,6.01452
4.21951,6.02031
4.23411,6.05225
4.2485,6.0784
4.26268,6.10428
4.27667,6.13641
4.29046,6.18966
4.30407,6.21232
4.31749,6.23447
4.33073,6.27755
4.34381,6.2887
4.35671,6.3271
4.36945,6.32335
4.38203,6.3396
4.39445,6.34072
4.40672,6.34925
4.41884,6.3507
4.43082,6.35735
4.44265,6.37031
4.45435,6.38544
4.46591,6.38989
4.47734,6.37746
4.48864,6.38265
4.49981,6.37707
4.51086,6.39065
4.52179,6.33579
4.5326,6.40091
4.54329,6.41465
4.55388,6.4448
4.56435,6.42238
4.57471,6.45317
4.58497,6.56691
4.59512,6.58984
4.60517,6.65906
4.61512,6.81381
4.62497,6.82196
4.63473,6.84997
4.64439,6.84977
4.65396,7.03174
4.66344,7.00033
4.67283,6.69909
4.68213,6.70849
4.69135,6.71538
4.70048,6.69703
4.70953,6.68336
4.7185,6.73815
4.72739,7.36834
4.7362,7.39018
4.74493,7.43426
4.75359,7.41337
4.76217,7.45761
4.77068,7.50108
4.77912,7.5438
4.78749,7.56216
4.79579,7.6034
4.80402,7.62168
4.81218,7.66153
4.82028,7.64396
