x
1.86403
1.89332
1.90958
1.94735
1.95433
1.86254
1.84149
1.82004
1.87915
1.86858
1.84256
1.85043
1.88143
1.97833
1.86289
1.91254
1.92562
1.91546
1.89158
1.89164
1.94852
1.89659
1.90711
1.89063
1.85366
1.89271
1.95157
1.91531
1.84594
1.8706
1.8583
1.89385
1.89274
1.91325
1.86412
1.88812
1.89684
1.921
1.86013
1.92817
1.9087
1.84912
1.92867
1.90591
1.8709
1.91138
1.87252
1.86709
1.86499
1.85755
1.87458
1.87628
1.88075
1.86308
1.88799
1.90611
1.90861
1.90303
1.9489
2.00857
1.91879
1.92014
1.87801
1.88586
1.9227
1.90407
1.91691
1.86652
1.88517
1.86232
1.86925
1.89973
1.92424
1.85722
1.86466
1.88965
1.90041
1.86898
1.89611
1.89246
1.91645
1.95224
1.89914
1.87362
1.86444
1.86048
1.90587
1.85586
1.87273
1.85493
1.8648
1.89544
1.88435
1.86984
1.85411
1.90865
1.84406
1.88354
1.91201
1.87016
1.87437
1.87712
1.92109
1.92695
1.88409
1.88958
1.88428
1.8923
1.89856
1.918
1.90283
1.91388
1.93108
1.86941
1.85933
1.90952
1.87979
1.93804
1.84737
1.87321
1.87947
1.87874
1.86713
1.94554
1.86282
1.89962
1.90777
1.90176
1.88769
1.89306
1.91003
1.88624
1.92313
1.83899
1.88412
1.90023
1.90743
1.91781
1.93347
1.89082
1.89648
1.87785
1.91217
1.86915
1.84963
1.96018
1.88126
1.90762
1.90207
1.88774
1.95599
1.87799
1.88341
1.89964
1.94469
1.87827
1.83919
1.90038
1.9407
1.8924
1.89781
1.87105
1.94218
1.90018
1.93313
1.87112
1.86284
1.87433
1.85798
1.94924
1.85761
1.86849
1.92993
1.88348
1.84316
1.88062
1.87238
1.82769
1.9088
1.90837
1.9126
1.93542
1.92682
1.88234
1.91369
1.89106
1.86073
1.92408
1.92374
1.92311
1.9159
1.85536
1.87461
1.86873
1.88423
1.94308
1.87794
1.89671
1.90694
1.87299
1.84203
1.84276
1.8443
1.86426
1.89789
1.90398
1.85663
1.89331
1.86997
1.89585
1.85758
1.8859
1.93227
1.86895
1.93553
1.90091
1.89517
1.88951
1.89483
1.94501
1.85328
1.87754
1.86767
1.84526
1.88841
1.88028
1.88118
1.85263
1.90093
1.91715
1.90388
1.84976
1.87629
1.92832
1.87789
1.92027
1.92778
1.87449
1.92264
1.83013
1.87053
1.88435
1.93275
1.89756
1.92809
1.8699
1.91371
1.86945
1.88443
