x,y
0,0
1,1
2,2.00013
3,3.00055
4,3.99951
5,5.00084
6,6.00465
7,7.00758
8,8.01305
9,9.01279
10,10.0125
11,11.0097
12,12.0116
13,13.0092
14,14.0063
15,15.0096
16,16.0181
17,17.0154
18,18.0193
19,19.0224
20,20.0247
21,21.0177
22,22.0203
23,23.0195
24,24.0207
25,25.0258
26,26.0238
27,27.0306
28,28.0356
29,29.0357
30,30.0316
31,31.0409
32,32.0285
33,33.0319
34,34.0369
35,35.0262
36,36.0425
37,37.0356
38,38.0387
39,39.0384
40,40.039
41,41.0375
42,42.0325
43,43.0267
44,44.0294
45,45.021
46,46.0252
47,47.0309
48,48.0178
49,49.0061
50,50.0101
51,51.016
52,52.0136
53,53.0122
54,54.012
55,55.0009
56,56.0001
57,56.9912
58,57.9838
59,58.9821
60,59.9772
61,60.9808
62,61.9823
63,62.9825
64,63.9853
65,64.9765
66,65.9741
67,66.9741
68,67.9831
69,68.9824
70,69.9737
71,70.9554
72,71.9496
73,72.9408
74,73.9377
75,74.9555
76,75.9579
77,76.9695
78,77.9728
79,78.98
80,79.9663
81,80.9711
82,81.9595
83,82.956
84,83.9583
85,84.9533
86,85.9477
87,86.9455
88,87.9345
89,88.9347
90,89.9396
91,90.9341
92,91.9433
93,92.9521
94,93.9435
95,94.9297
96,95.9435
97,96.9201
98,97.9069
99,98.9095
100,99.8948
101,100.896
102,101.902
103,102.909
104,103.909
105,104.92
106,105.933
107,106.946
108,107.963
109,108.959
110,109.967
111,110.969
112,111.973
113,112.974
114,113.974
115,114.969
116,115.97
117,116.974
118,117.97
119,118.964
120,119.967
121,120.974
122,121.962
123,122.958
124,123.966
125,124.963
126,125.979
127,126.985
128,127.992
129,128.991
130,130.003
131,131.012
132,132.019
133,132.992
134,133.996
135,135.009
136,136.006
137,137
138,138.001
139,138.994
140,140
141,141.023
142,142.017
143,143.023
144,144.022
145,145.034
146,146.039
147,147.038
148,148.037
149,149.065
150,150.07
151,151.071
152,152.06
153,153.065
154,154.074
155,155.081
156,156.088
157,157.09
158,158.087
159,159.085
160,160.099
161,161.086
162,162.101
163,163.118
164,164.108
165,165.114
166,166.11
167,167.11
168,168.084
169,169.106
170,170.097
171,171.091
172,172.104
173,173.105
174,174.115
175,175.11
176,176.103
177,177.103
178,178.104
179,179.11
180,180.118
181,181.134
182,182.132
183,183.145
184,184.142
185,185.122
186,186.136
187,187.122
188,188.116
189,189.11
190,190.096
191,191.079
192,192.077
193,193.077
194,194.076
195,195.095
196,196.091
197,197.09
198,198.109
199,199.118
200,200.123
